date,time,code,open,high,low,close,volume,amount,adjustflag
2022-12-26,20221226094500000,sz.003030,26.5242284100,29.1776450400,26.5242284100,28.1142908100,5236629,150841394.0000,2
2022-12-26,20221226100000000,sz.003030,28.1142908100,28.1142908100,27.5875826400,27.5975205300,452500,12660307.0000,2
2022-12-26,20221226101500000,sz.003030,27.5875826400,27.8956572300,27.4882037400,27.7267131000,263000,7323111.0000,2
2022-12-26,20221226103000000,sz.003030,27.7167752100,27.9254709000,27.5279553000,27.8062162200,159900,4456910.0000,2
2022-12-26,20221226104500000,sz.003030,27.8062162200,28.0447255800,27.6571478700,27.8360298900,217056,6091194.0000,2
2022-12-26,20221226110000000,sz.003030,27.8360298900,28.0248498000,27.7068373200,27.8658435600,81700,2291620.0000,2
2022-12-26,20221226111500000,sz.003030,27.8658435600,27.9552845700,27.8360298900,27.8559056700,38300,1074207.0000,2
2022-12-26,20221226113000000,sz.003030,27.8559056700,27.8857193400,27.8559056700,27.8658435600,49900,1399047.0000,2
2022-12-26,20221226131500000,sz.003030,27.8757814500,28.0149119100,27.8757814500,28.0049740200,71100,1999463.0000,2
2022-12-26,20221226133000000,sz.003030,28.0049740200,28.0049740200,27.9751603500,27.9751603500,99280,2795888.0000,2
2022-12-26,20221226134500000,sz.003030,27.9751603500,27.9751603500,27.8459677800,27.8459677800,66400,1862844.0000,2
2022-12-26,20221226140000000,sz.003030,27.8459677800,27.8459677800,27.6372720900,27.6670857600,98500,2746682.0000,2
2022-12-26,20221226141500000,sz.003030,27.6472099800,27.7565267700,27.5279553000,27.7565267700,91281,2535145.0000,2
2022-12-26,20221226143000000,sz.003030,27.7764025500,27.9751603500,27.7664646600,27.8062162200,104500,2928722.0000,2
2022-12-26,20221226144500000,sz.003030,27.8062162200,27.8757814500,27.7764025500,27.8459677800,122300,3425316.0000,2
2022-12-26,20221226150000000,sz.003030,27.8459677800,27.8559056700,27.7962783300,27.8062162200,400800,11217364.0000,2
2022-12-27,20221227094500000,sz.003030,27.8062162200,27.8062162200,26.5540420800,26.7229862100,1823774,49620564.0000,2
2022-12-27,20221227100000000,sz.003030,26.7130483200,26.7826135500,26.5341663000,26.7826135500,436700,11713098.0000,2
2022-12-27,20221227101500000,sz.003030,26.7229862100,26.8223651100,26.5838557500,26.7130483200,343100,9205876.0000,2
2022-12-27,20221227103000000,sz.003030,26.7130483200,26.9118061200,26.6136694200,26.6732967600,395200,10613810.0000,2
2022-12-27,20221227104500000,sz.003030,26.6931725400,27.1006260300,26.6037315300,27.0310608000,500200,13450057.0000,2
2022-12-27,20221227110000000,sz.003030,27.0310608000,27.0310608000,26.6931725400,26.7031104300,249700,6730436.0000,2
2022-12-27,20221227111500000,sz.003030,26.7031104300,26.7428619900,26.6037315300,26.7130483200,385600,10342610.0000,2
2022-12-27,20221227113000000,sz.003030,26.6335452000,26.8223651100,26.5540420800,26.7627377700,428387,11493498.0000,2
2022-12-27,20221227131500000,sz.003030,26.7826135500,26.9614955700,26.7627377700,26.9614955700,268000,7244645.0000,2
2022-12-27,20221227133000000,sz.003030,26.9614955700,27.1006260300,26.9515576800,27.0807502500,199300,5416432.0000,2
2022-12-27,20221227134500000,sz.003030,27.0211229100,27.1304397000,26.9316819000,26.9714334600,157900,4292670.0000,2
2022-12-27,20221227140000000,sz.003030,26.9614955700,27.0111850200,26.8819924500,26.8819924500,93300,2530531.0000,2
2022-12-27,20221227141500000,sz.003030,26.8819924500,26.9913092400,26.8819924500,26.9515576800,129900,3520006.0000,2
2022-12-27,20221227143000000,sz.003030,26.9515576800,27.0409986900,26.9416197900,26.9714334600,85300,2315975.0000,2
2022-12-27,20221227144500000,sz.003030,26.9614955700,27.0807502500,26.9316819000,27.0807502500,230400,6260877.0000,2
2022-12-27,20221227150000000,sz.003030,27.0807502500,27.3291975000,27.0310608000,27.3291975000,524300,14341352.0000,2
2022-12-28,20221228094500000,sz.003030,27.0310608000,27.3788869500,26.7130483200,26.7925514400,625201,16968919.0000,2
